Region/Country/Area,Area,Year,Series,Value
180,Dem. Rep. of the Congo,2021,Percentage of individuals using the internet,22.9
208,Denmark,2000,Percentage of individuals using the internet,39.2
208,Denmark,2005,Percentage of individuals using the internet,82.7
208,Denmark,2010,Percentage of individuals using the internet,88.7
208,Denmark,2015,Percentage of individuals using the internet,96.3
208,Denmark,2019,Percentage of individuals using the internet,98
208,Denmark,2020,Percentage of individuals using the internet,96.5
208,Denmark,2021,Percentage of individuals using the internet,98.9
262,Djibouti,2000,Percentage of individuals using the internet,0.2
262,Djibouti,2005,Percentage of individuals using the internet,1
262,Djibouti,2010,Percentage of individuals using the internet,6.5
262,Djibouti,2015,Percentage of individuals using the internet,22.9
262,Djibouti,2019,Percentage of individuals using the internet,59.3
262,Djibouti,2020,Percentage of individuals using the internet,61.3
262,Djibouti,2021,Percentage of individuals using the internet,68.9
212,Dominica,2000,Percentage of individuals using the internet,8.8
212,Dominica,2005,Percentage of individuals using the internet,38.5
212,Dominica,2010,Percentage of individuals using the internet,47.5
212,Dominica,2015,Percentage of individuals using the internet,65
212,Dominica,2019,Percentage of individuals using the internet,73.4
212,Dominica,2020,Percentage of individuals using the internet,77.1
212,Dominica,2021,Percentage of individuals using the internet,80.9
214,Dominican Republic,2000,Percentage of individuals using the internet,3.7
214,Dominican Republic,2005,Percentage of individuals using the internet,11.5
214,Dominican Republic,2010,Percentage of individuals using the internet,31.4
214,Dominican Republic,2015,Percentage of individuals using the internet,54.2
214,Dominican Republic,2019,Percentage of individuals using the internet,79.7
214,Dominican Republic,2020,Percentage of individuals using the internet,82.2
214,Dominican Republic,2021,Percentage of individuals using the internet,85.2
218,Ecuador,2000,Percentage of individuals using the internet,1.5
218,Ecuador,2005,Percentage of individuals using the internet,6
218,Ecuador,2010,Percentage of individuals using the internet,29
218,Ecuador,2015,Percentage of individuals using the internet,48.9
218,Ecuador,2019,Percentage of individuals using the internet,59.2
218,Ecuador,2020,Percentage of individuals using the internet,70.7
218,Ecuador,2021,Percentage of individuals using the internet,76.2
818,Egypt,2000,Percentage of individuals using the internet,0.6
818,Egypt,2005,Percentage of individuals using the internet,12.8
818,Egypt,2010,Percentage of individuals using the internet,21.6
818,Egypt,2015,Percentage of individuals using the internet,37.8
818,Egypt,2019,Percentage of individuals using the internet,57.3
818,Egypt,2020,Percentage of individuals using the internet,71.9
818,Egypt,2021,Percentage of individuals using the internet,72.1
222,El Salvador,2000,Percentage of individuals using the internet,1.2
222,El Salvador,2005,Percentage of individuals using the internet,4.2
222,El Salvador,2010,Percentage of individuals using the internet,15.9
222,El Salvador,2015,Percentage of individuals using the internet,26.8
222,El Salvador,2019,Percentage of individuals using the internet,50.5
222,El Salvador,2020,Percentage of individuals using the internet,54.6
222,El Salvador,2021,Percentage of individuals using the internet,62.9
226,Equatorial Guinea,2000,Percentage of individuals using the internet,0.1
226,Equatorial Guinea,2005,Percentage of individuals using the internet,1.1
226,Equatorial Guinea,2010,Percentage of individuals using the internet,6
226,Equatorial Guinea,2015,Percentage of individuals using the internet,21.3
226,Equatorial Guinea,2019,Percentage of individuals using the internet,49.1
226,Equatorial Guinea,2020,Percentage of individuals using the internet,53.8
226,Equatorial Guinea,2021,Percentage of individuals using the internet,53.9
232,Eritrea,2000,Percentage of individuals using the internet,0.1
232,Eritrea,2010,Percentage of individuals using the internet,0.6
232,Eritrea,2015,Percentage of individuals using the internet,1.1
232,Eritrea,2019,Percentage of individuals using the internet,8.8
232,Eritrea,2020,Percentage of individuals using the internet,14.2
232,Eritrea,2021,Percentage of individuals using the internet,21.7
233,Estonia,2000,Percentage of individuals using the internet,28.6
233,Estonia,2005,Percentage of individuals using the internet,61.5
233,Estonia,2010,Percentage of individuals using the internet,74.1
233,Estonia,2015,Percentage of individuals using the internet,88.4
233,Estonia,2019,Percentage of individuals using the internet,90.2
233,Estonia,2020,Percentage of individuals using the internet,89.1
233,Estonia,2021,Percentage of individuals using the internet,91
748,Eswatini,2000,Percentage of individuals using the internet,0.9
748,Eswatini,2005,Percentage of individuals using the internet,3.7
748,Eswatini,2010,Percentage of individuals using the internet,11
748,Eswatini,2015,Percentage of individuals using the internet,25.6
748,Eswatini,2019,Percentage of individuals using the internet,54
748,Eswatini,2020,Percentage of individuals using the internet,56.4
748,Eswatini,2021,Percentage of individuals using the internet,58.9
231,Ethiopia,2000,Percentage of individuals using the internet,0
231,Ethiopia,2005,Percentage of individuals using the internet,0.2
231,Ethiopia,2010,Percentage of individuals using the internet,0.8
231,Ethiopia,2015,Percentage of individuals using the internet,13.9
231,Ethiopia,2019,Percentage of individuals using the internet,16.2
231,Ethiopia,2020,Percentage of individuals using the internet,16.4
231,Ethiopia,2021,Percentage of individuals using the internet,16.7
238,Falkland Islands (Malvinas),2000,Percentage of individuals using the internet,58.6
238,Falkland Islands (Malvinas),2005,Percentage of individuals using the internet,84
238,Falkland Islands (Malvinas),2010,Percentage of individuals using the internet,95.8
238,Falkland Islands (Malvinas),2015,Percentage of individuals using the internet,98.3
234,Faroe Islands,2000,Percentage of individuals using the internet,32.9
234,Faroe Islands,2005,Percentage of individuals using the internet,67.9
234,Faroe Islands,2010,Percentage of individuals using the internet,75.2
234,Faroe Islands,2015,Percentage of individuals using the internet,94.2
242,Fiji,2000,Percentage of individuals using the internet,1.5
242,Fiji,2005,Percentage of individuals using the internet,8.5
242,Fiji,2010,Percentage of individuals using the internet,20
242,Fiji,2015,Percentage of individuals using the internet,42.5
242,Fiji,2019,Percentage of individuals using the internet,77.2
242,Fiji,2020,Percentage of individuals using the internet,84.9
242,Fiji,2021,Percentage of individuals using the internet,87.7
246,Finland,2000,Percentage of individuals using the internet,37.2
246,Finland,2005,Percentage of individuals using the internet,74.5
246,Finland,2010,Percentage of individuals using the internet,86.9
246,Finland,2015,Percentage of individuals using the internet,86.4
246,Finland,2019,Percentage of individuals using the internet,89.6
246,Finland,2020,Percentage of individuals using the internet,92.2
246,Finland,2021,Percentage of individuals using the internet,92.8
250,France,2000,Percentage of individuals using the internet,14.3
250,France,2005,Percentage of individuals using the internet,42.9
250,France,2010,Percentage of individuals using the internet,77.3
250,France,2015,Percentage of individuals using the internet,78
250,France,2019,Percentage of individuals using the internet,83.3
250,France,2020,Percentage of individuals using the internet,84.7
250,France,2021,Percentage of individuals using the internet,86.1
254,French Guiana,2000,Percentage of individuals using the internet,9.7
254,French Guiana,2005,Percentage of individuals using the internet,20.8
258,French Polynesia,2000,Percentage of individuals using the internet,6.4
258,French Polynesia,2005,Percentage of individuals using the internet,21.5
258,French Polynesia,2010,Percentage of individuals using the internet,49
258,French Polynesia,2015,Percentage of individuals using the internet,64.6
266,Gabon,2000,Percentage of individuals using the internet,1.2
266,Gabon,2005,Percentage of individuals using the internet,4.9
266,Gabon,2010,Percentage of individuals using the internet,13
266,Gabon,2015,Percentage of individuals using the internet,45.8
266,Gabon,2019,Percentage of individuals using the internet,68.7
266,Gabon,2020,Percentage of individuals using the internet,70.8
266,Gabon,2021,Percentage of individuals using the internet,71.7
270,Gambia,2000,Percentage of individuals using the internet,0.9
270,Gambia,2005,Percentage of individuals using the internet,3.8
270,Gambia,2010,Percentage of individuals using the internet,9.2
270,Gambia,2015,Percentage of individuals using the internet,17.6
270,Gambia,2019,Percentage of individuals using the internet,28.8
270,Gambia,2020,Percentage of individuals using the internet,31.6
270,Gambia,2021,Percentage of individuals using the internet,33
268,Georgia,2000,Percentage of individuals using the internet,0.5
268,Georgia,2005,Percentage of individuals using the internet,6.1
268,Georgia,2010,Percentage of individuals using the internet,26.9
268,Georgia,2015,Percentage of individuals using the internet,47.6
268,Georgia,2019,Percentage of individuals using the internet,68.8
268,Georgia,2020,Percentage of individuals using the internet,72.5
268,Georgia,2021,Percentage of individuals using the internet,76.4
276,Germany,2000,Percentage of individuals using the internet,30.2
276,Germany,2005,Percentage of individuals using the internet,68.7
276,Germany,2010,Percentage of individuals using the internet,82
276,Germany,2015,Percentage of individuals using the internet,87.6
276,Germany,2019,Percentage of individuals using the internet,88.1
276,Germany,2020,Percentage of individuals using the internet,89.8
276,Germany,2021,Percentage of individuals using the internet,91.4
288,Ghana,2000,Percentage of individuals using the internet,0.2
288,Ghana,2005,Percentage of individuals using the internet,1.8
288,Ghana,2010,Percentage of individuals using the internet,7.8
288,Ghana,2015,Percentage of individuals using the internet,23
288,Ghana,2019,Percentage of individuals using the internet,45
288,Ghana,2020,Percentage of individuals using the internet,56.7
288,Ghana,2021,Percentage of individuals using the internet,68.2
292,Gibraltar,2000,Percentage of individuals using the internet,19.1
292,Gibraltar,2005,Percentage of individuals using the internet,39.1
292,Gibraltar,2010,Percentage of individuals using the internet,65
300,Greece,2000,Percentage of individuals using the internet,9.1
300,Greece,2005,Percentage of individuals using the internet,24
300,Greece,2010,Percentage of individuals using the internet,44.4
300,Greece,2015,Percentage of individuals using the internet,66.8
300,Greece,2019,Percentage of individuals using the internet,75.7
300,Greece,2020,Percentage of individuals using the internet,78.1
300,Greece,2021,Percentage of individuals using the internet,78.5
304,Greenland,2000,Percentage of individuals using the internet,31.7
304,Greenland,2005,Percentage of individuals using the internet,57.7
304,Greenland,2010,Percentage of individuals using the internet,63
304,Greenland,2015,Percentage of individuals using the internet,67.6
308,Grenada,2000,Percentage of individuals using the internet,4.1
308,Grenada,2005,Percentage of individuals using the internet,20.5
308,Grenada,2010,Percentage of individuals using the internet,27
308,Grenada,2015,Percentage of individuals using the internet,52.5
308,Grenada,2019,Percentage of individuals using the internet,69.6
308,Grenada,2020,Percentage of individuals using the internet,74.7
308,Grenada,2021,Percentage of individuals using the internet,77.8
312,Guadeloupe,2000,Percentage of individuals using the internet,5.8
312,Guadeloupe,2005,Percentage of individuals using the internet,18.7
316,Guam,2000,Percentage of individuals using the internet,16.1
316,Guam,2005,Percentage of individuals using the internet,38.6
316,Guam,2010,Percentage of individuals using the internet,54
316,Guam,2015,Percentage of individuals using the internet,73.1
320,Guatemala,2000,Percentage of individuals using the internet,0.7
320,Guatemala,2005,Percentage of individuals using the internet,5.7
320,Guatemala,2010,Percentage of individuals using the internet,10.5
320,Guatemala,2015,Percentage of individuals using the internet,28.8
320,Guatemala,2019,Percentage of individuals using the internet,44.4
320,Guatemala,2020,Percentage of individuals using the internet,47.5
320,Guatemala,2021,Percentage of individuals using the internet,50.8
831,Guernsey,2000,Percentage of individuals using the internet,31.9
831,Guernsey,2005,Percentage of individuals using the internet,73.6
324,Guinea,2000,Percentage of individuals using the internet,0.1
324,Guinea,2005,Percentage of individuals using the internet,0.5
324,Guinea,2010,Percentage of individuals using the internet,1
324,Guinea,2015,Percentage of individuals using the internet,9.2
324,Guinea,2019,Percentage of individuals using the internet,23.4
324,Guinea,2020,Percentage of individuals using the internet,28.8
324,Guinea,2021,Percentage of individuals using the internet,34.7
624,Guinea-Bissau,2000,Percentage of individuals using the internet,0.2
624,Guinea-Bissau,2005,Percentage of individuals using the internet,1.9
624,Guinea-Bissau,2010,Percentage of individuals using the internet,2.5
624,Guinea-Bissau,2015,Percentage of individuals using the internet,6.1
624,Guinea-Bissau,2019,Percentage of individuals using the internet,22.9
624,Guinea-Bissau,2020,Percentage of individuals using the internet,27.9
624,Guinea-Bissau,2021,Percentage of individuals using the internet,35.2
328,Guyana,2000,Percentage of individuals using the internet,0.6
328,Guyana,2005,Percentage of individuals using the internet,5.7
328,Guyana,2010,Percentage of individuals using the internet,29.9
328,Guyana,2015,Percentage of individuals using the internet,34
328,Guyana,2019,Percentage of individuals using the internet,78.6
328,Guyana,2020,Percentage of individuals using the internet,81.8
328,Guyana,2021,Percentage of individuals using the internet,84.8
332,Haiti,2000,Percentage of individuals using the internet,0.2
332,Haiti,2005,Percentage of individuals using the internet,6.4
332,Haiti,2010,Percentage of individuals using the internet,8.4
332,Haiti,2015,Percentage of individuals using the internet,14.2
332,Haiti,2019,Percentage of individuals using the internet,32.5
332,Haiti,2020,Percentage of individuals using the internet,36.4
332,Haiti,2021,Percentage of individuals using the internet,38.9
340,Honduras,2000,Percentage of individuals using the internet,1.2
340,Honduras,2005,Percentage of individuals using the internet,6.5
340,Honduras,2010,Percentage of individuals using the internet,11.1
340,Honduras,2015,Percentage of individuals using the internet,27.1
340,Honduras,2019,Percentage of individuals using the internet,39.4
340,Honduras,2020,Percentage of individuals using the internet,43.5
340,Honduras,2021,Percentage of individuals using the internet,48.1
348,Hungary,2000,Percentage of individuals using the internet,7
348,Hungary,2005,Percentage of individuals using the internet,39
348,Hungary,2010,Percentage of individuals using the internet,65
348,Hungary,2015,Percentage of individuals using the internet,72.8
348,Hungary,2019,Percentage of individuals using the internet,80.4
348,Hungary,2020,Percentage of individuals using the internet,84.8
348,Hungary,2021,Percentage of individuals using the internet,88.6
352,Iceland,2000,Percentage of individuals using the internet,44.5
352,Iceland,2005,Percentage of individuals using the internet,87
352,Iceland,2010,Percentage of individuals using the internet,93.4
352,Iceland,2015,Percentage of individuals using the internet,98.2
352,Iceland,2019,Percentage of individuals using the internet,99.5
352,Iceland,2020,Percentage of individuals using the internet,99.5
352,Iceland,2021,Percentage of individuals using the internet,99.7
356,India,2000,Percentage of individuals using the internet,0.5
356,India,2005,Percentage of individuals using the internet,2.4
356,India,2010,Percentage of individuals using the internet,7.5
356,India,2015,Percentage of individuals using the internet,14.9
356,India,2019,Percentage of individuals using the internet,29.5
356,India,2020,Percentage of individuals using the internet,43.4
356,India,2021,Percentage of individuals using the internet,46.3
360,Indonesia,2000,Percentage of individuals using the internet,0.9
360,Indonesia,2005,Percentage of individuals using the internet,3.6
360,Indonesia,2010,Percentage of individuals using the internet,10.9
360,Indonesia,2015,Percentage of individuals using the internet,22.1
360,Indonesia,2019,Percentage of individuals using the internet,47.7
360,Indonesia,2020,Percentage of individuals using the internet,53.7
360,Indonesia,2021,Percentage of individuals using the internet,62.1
364,Iran (Islamic Republic of),2000,Percentage of individuals using the internet,0.9
364,Iran (Islamic Republic of),2005,Percentage of individuals using the internet,8.1
364,Iran (Islamic Republic of),2010,Percentage of individuals using the internet,15.9
364,Iran (Islamic Republic of),2015,Percentage of individuals using the internet,45.3
364,Iran (Islamic Republic of),2019,Percentage of individuals using the internet,72.5
364,Iran (Islamic Republic of),2020,Percentage of individuals using the internet,75.6
364,Iran (Islamic Republic of),2021,Percentage of individuals using the internet,78.6
368,Iraq,2005,Percentage of individuals using the internet,0.9
368,Iraq,2010,Percentage of individuals using the internet,2.5
368,Iraq,2015,Percentage of individuals using the internet,15.2
368,Iraq,2019,Percentage of individuals using the internet,44.3
368,Iraq,2020,Percentage of individuals using the internet,45.8
368,Iraq,2021,Percentage of individuals using the internet,48.9
372,Ireland,2000,Percentage of individuals using the internet,17.9
372,Ireland,2005,Percentage of individuals using the internet,41.6
372,Ireland,2010,Percentage of individuals using the internet,69.9
372,Ireland,2015,Percentage of individuals using the internet,83.5
372,Ireland,2019,Percentage of individuals using the internet,87
372,Ireland,2020,Percentage of individuals using the internet,92
372,Ireland,2021,Percentage of individuals using the internet,95.2
376,Israel,2000,Percentage of individuals using the internet,20.9
376,Israel,2005,Percentage of individuals using the internet,25.2
376,Israel,2010,Percentage of individuals using the internet,67.5
376,Israel,2015,Percentage of individuals using the internet,77.4
376,Israel,2019,Percentage of individuals using the internet,86.8
376,Israel,2020,Percentage of individuals using the internet,90.1
376,Israel,2021,Percentage of individuals using the internet,90.3
380,Italy,2000,Percentage of individuals using the internet,23.1
380,Italy,2005,Percentage of individuals using the internet,35
380,Italy,2010,Percentage of individuals using the internet,53.7
380,Italy,2015,Percentage of individuals using the internet,58.1
380,Italy,2019,Percentage of individuals using the internet,67.9
380,Italy,2020,Percentage of individuals using the internet,70.5
380,Italy,2021,Percentage of individuals using the internet,74.9
388,Jamaica,2000,Percentage of individuals using the internet,3.1
388,Jamaica,2005,Percentage of individuals using the internet,12.8
388,Jamaica,2010,Percentage of individuals using the internet,27.7
388,Jamaica,2015,Percentage of individuals using the internet,42.2
388,Jamaica,2019,Percentage of individuals using the internet,70.8
388,Jamaica,2020,Percentage of individuals using the internet,79.4
388,Jamaica,2021,Percentage of individuals using the internet,82.4
392,Japan,2000,Percentage of individuals using the internet,30
392,Japan,2005,Percentage of individuals using the internet,66.9
392,Japan,2010,Percentage of individuals using the internet,78.2
392,Japan,2015,Percentage of individuals using the internet,91.1
392,Japan,2019,Percentage of individuals using the internet,92.7
392,Japan,2020,Percentage of individuals using the internet,90.2
392,Japan,2021,Percentage of individuals using the internet,82.9
832,Jersey,2000,Percentage of individuals using the internet,9.2
832,Jersey,2005,Percentage of individuals using the internet,31.3
400,Jordan,2000,Percentage of individuals using the internet,2.6
400,Jordan,2005,Percentage of individuals using the internet,12.9
400,Jordan,2010,Percentage of individuals using the internet,27.2
400,Jordan,2015,Percentage of individuals using the internet,54.2
400,Jordan,2019,Percentage of individuals using the internet,70.1
400,Jordan,2020,Percentage of individuals using the internet,75.4
400,Jordan,2021,Percentage of individuals using the internet,82.8
398,Kazakhstan,2000,Percentage of individuals using the internet,0.7
398,Kazakhstan,2005,Percentage of individuals using the internet,3
398,Kazakhstan,2010,Percentage of individuals using the internet,31.6
398,Kazakhstan,2015,Percentage of individuals using the internet,70.8
398,Kazakhstan,2019,Percentage of individuals using the internet,81.9
398,Kazakhstan,2020,Percentage of individuals using the internet,85.9
398,Kazakhstan,2021,Percentage of individuals using the internet,90.9
404,Kenya,2000,Percentage of individuals using the internet,0.3
404,Kenya,2005,Percentage of individuals using the internet,3.1
404,Kenya,2010,Percentage of individuals using the internet,7.2
404,Kenya,2015,Percentage of individuals using the internet,16.6
404,Kenya,2019,Percentage of individuals using the internet,22.7
404,Kenya,2020,Percentage of individuals using the internet,25.5
404,Kenya,2021,Percentage of individuals using the internet,28.8
296,Kiribati,2000,Percentage of individuals using the internet,1.8
296,Kiribati,2005,Percentage of individuals using the internet,4
296,Kiribati,2010,Percentage of individuals using the internet,9.1
296,Kiribati,2015,Percentage of individuals using the internet,14.9
296,Kiribati,2019,Percentage of individuals using the internet,43
296,Kiribati,2020,Percentage of individuals using the internet,45.1
296,Kiribati,2021,Percentage of individuals using the internet,53.6
414,Kuwait,2000,Percentage of individuals using the internet,6.7
414,Kuwait,2005,Percentage of individuals using the internet,25.9
414,Kuwait,2010,Percentage of individuals using the internet,61.4
414,Kuwait,2015,Percentage of individuals using the internet,82
414,Kuwait,2019,Percentage of individuals using the internet,99.5
414,Kuwait,2020,Percentage of individuals using the internet,99.1
414,Kuwait,2021,Percentage of individuals using the internet,99.7
417,Kyrgyzstan,2000,Percentage of individuals using the internet,1
417,Kyrgyzstan,2005,Percentage of individuals using the internet,10.5
417,Kyrgyzstan,2010,Percentage of individuals using the internet,16.3
417,Kyrgyzstan,2015,Percentage of individuals using the internet,30.2
417,Kyrgyzstan,2019,Percentage of individuals using the internet,64.1
417,Kyrgyzstan,2020,Percentage of individuals using the internet,72
417,Kyrgyzstan,2021,Percentage of individuals using the internet,77.9
418,Lao People's Dem. Rep.,2000,Percentage of individuals using the internet,0.1
418,Lao People's Dem. Rep.,2005,Percentage of individuals using the internet,0.9
418,Lao People's Dem. Rep.,2010,Percentage of individuals using the internet,7
418,Lao People's Dem. Rep.,2015,Percentage of individuals using the internet,18.2
418,Lao People's Dem. Rep.,2019,Percentage of individuals using the internet,47
418,Lao People's Dem. Rep.,2020,Percentage of individuals using the internet,54
418,Lao People's Dem. Rep.,2021,Percentage of individuals using the internet,62
428,Latvia,2000,Percentage of individuals using the internet,6.3
428,Latvia,2005,Percentage of individuals using the internet,46
428,Latvia,2010,Percentage of individuals using the internet,68.4
428,Latvia,2015,Percentage of individuals using the internet,79.2
428,Latvia,2019,Percentage of individuals using the internet,86.1
428,Latvia,2020,Percentage of individuals using the internet,88.9
428,Latvia,2021,Percentage of individuals using the internet,91.2
422,Lebanon,2000,Percentage of individuals using the internet,8
422,Lebanon,2005,Percentage of individuals using the internet,10.1
422,Lebanon,2010,Percentage of individuals using the internet,43.7
422,Lebanon,2015,Percentage of individuals using the internet,74
422,Lebanon,2019,Percentage of individuals using the internet,79.8
422,Lebanon,2020,Percentage of individuals using the internet,83.1
422,Lebanon,2021,Percentage of individuals using the internet,86.6
426,Lesotho,2000,Percentage of individuals using the internet,0.2
426,Lesotho,2005,Percentage of individuals using the internet,2.6
426,Lesotho,2010,Percentage of individuals using the internet,3.9
426,Lesotho,2015,Percentage of individuals using the internet,25
426,Lesotho,2019,Percentage of individuals using the internet,42.3
426,Lesotho,2020,Percentage of individuals using the internet,42.9
426,Lesotho,2021,Percentage of individuals using the internet,48
430,Liberia,2000,Percentage of individuals using the internet,0
430,Liberia,2010,Percentage of individuals using the internet,2.3
430,Liberia,2015,Percentage of individuals using the internet,10
430,Liberia,2019,Percentage of individuals using the internet,23.5
430,Liberia,2020,Percentage of individuals using the internet,28
430,Liberia,2021,Percentage of individuals using the internet,33.6
434,Libya,2000,Percentage of individuals using the internet,0.2
434,Libya,2005,Percentage of individuals using the internet,3.9
434,Libya,2010,Percentage of individuals using the internet,14
438,Liechtenstein,2000,Percentage of individuals using the internet,36.5
438,Liechtenstein,2005,Percentage of individuals using the internet,63.4
438,Liechtenstein,2010,Percentage of individuals using the internet,80
438,Liechtenstein,2015,Percentage of individuals using the internet,96.6
438,Liechtenstein,2019,Percentage of individuals using the internet,93.1
438,Liechtenstein,2020,Percentage of individuals using the internet,94.4
438,Liechtenstein,2021,Percentage of individuals using the internet,95.6
440,Lithuania,2000,Percentage of individuals using the internet,6.4
440,Lithuania,2005,Percentage of individuals using the internet,36.2
440,Lithuania,2010,Percentage of individuals using the internet,62.1
440,Lithuania,2015,Percentage of individuals using the internet,71.4
440,Lithuania,2019,Percentage of individuals using the internet,81.6
440,Lithuania,2020,Percentage of individuals using the internet,83.1
440,Lithuania,2021,Percentage of individuals using the internet,86.9
442,Luxembourg,2000,Percentage of individuals using the internet,22.9
442,Luxembourg,2005,Percentage of individuals using the internet,70
442,Luxembourg,2010,Percentage of individuals using the internet,90.6
442,Luxembourg,2015,Percentage of individuals using the internet,96.4
442,Luxembourg,2019,Percentage of individuals using the internet,97.1
442,Luxembourg,2020,Percentage of individuals using the internet,98.8
442,Luxembourg,2021,Percentage of individuals using the internet,98.7
450,Madagascar,2000,Percentage of individuals using the internet,0.2
450,Madagascar,2005,Percentage of individuals using the internet,0.6
450,Madagascar,2010,Percentage of individuals using the internet,1.7
450,Madagascar,2015,Percentage of individuals using the internet,4.2
450,Madagascar,2019,Percentage of individuals using the internet,11.8
450,Madagascar,2020,Percentage of individuals using the internet,13.7
450,Madagascar,2021,Percentage of individuals using the internet,19.7
454,Malawi,2000,Percentage of individuals using the internet,0.1
454,Malawi,2005,Percentage of individuals using the internet,0.4
454,Malawi,2010,Percentage of individuals using the internet,2.3
454,Malawi,2015,Percentage of individuals using the internet,6
454,Malawi,2019,Percentage of individuals using the internet,13.4
454,Malawi,2020,Percentage of individuals using the internet,18.9
454,Malawi,2021,Percentage of individuals using the internet,24.4
458,Malaysia,2000,Percentage of individuals using the internet,21.4
458,Malaysia,2005,Percentage of individuals using the internet,48.6
458,Malaysia,2010,Percentage of individuals using the internet,56.3
458,Malaysia,2015,Percentage of individuals using the internet,71.1
458,Malaysia,2019,Percentage of individuals using the internet,84.2
458,Malaysia,2020,Percentage of individuals using the internet,89.6
458,Malaysia,2021,Percentage of individuals using the internet,96.8
462,Maldives,2000,Percentage of individuals using the internet,2.2
462,Maldives,2005,Percentage of individuals using the internet,6.9
462,Maldives,2010,Percentage of individuals using the internet,26.5
462,Maldives,2015,Percentage of individuals using the internet,54.5
462,Maldives,2019,Percentage of individuals using the internet,77.5
462,Maldives,2020,Percentage of individuals using the internet,77.6
462,Maldives,2021,Percentage of individuals using the internet,85.8
466,Mali,2000,Percentage of individuals using the internet,0.1
466,Mali,2005,Percentage of individuals using the internet,0.5
466,Mali,2010,Percentage of individuals using the internet,2
466,Mali,2015,Percentage of individuals using the internet,10.3
466,Mali,2019,Percentage of individuals using the internet,22.3
466,Mali,2020,Percentage of individuals using the internet,27.9
466,Mali,2021,Percentage of individuals using the internet,34.5
470,Malta,2000,Percentage of individuals using the internet,13.1
470,Malta,2005,Percentage of individuals using the internet,41.2
470,Malta,2010,Percentage of individuals using the internet,63
470,Malta,2015,Percentage of individuals using the internet,76
470,Malta,2019,Percentage of individuals using the internet,85.8
470,Malta,2020,Percentage of individuals using the internet,86.9
470,Malta,2021,Percentage of individuals using the internet,87.5
584,Marshall Islands,2000,Percentage of individuals using the internet,1.5
584,Marshall Islands,2005,Percentage of individuals using the internet,3.9
584,Marshall Islands,2010,Percentage of individuals using the internet,7
584,Marshall Islands,2015,Percentage of individuals using the internet,19.3
474,Martinique,2000,Percentage of individuals using the internet,7.8
474,Martinique,2005,Percentage of individuals using the internet,32.7
478,Mauritania,2000,Percentage of individuals using the internet,0.2
478,Mauritania,2005,Percentage of individuals using the internet,0.7
478,Mauritania,2010,Percentage of individuals using the internet,4
478,Mauritania,2015,Percentage of individuals using the internet,17.6
478,Mauritania,2019,Percentage of individuals using the internet,42.3
478,Mauritania,2020,Percentage of individuals using the internet,53.5
478,Mauritania,2021,Percentage of individuals using the internet,58.8
480,Mauritius,2000,Percentage of individuals using the internet,7.3
480,Mauritius,2005,Percentage of individuals using the internet,15.2
480,Mauritius,2010,Percentage of individuals using the internet,28.3
480,Mauritius,2015,Percentage of individuals using the internet,50.1
480,Mauritius,2019,Percentage of individuals using the internet,61.7
480,Mauritius,2020,Percentage of individuals using the internet,64.9
480,Mauritius,2021,Percentage of individuals using the internet,67.6
175,Mayotte,2000,Percentage of individuals using the internet,1.2
484,Mexico,2000,Percentage of individuals using the internet,5.1
484,Mexico,2005,Percentage of individuals using the internet,17.2
484,Mexico,2010,Percentage of individuals using the internet,31.1
484,Mexico,2015,Percentage of individuals using the internet,57.4
484,Mexico,2019,Percentage of individuals using the internet,69.6
484,Mexico,2020,Percentage of individuals using the internet,71.5
484,Mexico,2021,Percentage of individuals using the internet,75.6
492,Monaco,2000,Percentage of individuals using the internet,42.2
492,Monaco,2005,Percentage of individuals using the internet,55.5
492,Monaco,2010,Percentage of individuals using the internet,75
492,Monaco,2015,Percentage of individuals using the internet,93.4
492,Monaco,2019,Percentage of individuals using the internet,83.3
492,Monaco,2020,Percentage of individuals using the internet,84.7
492,Monaco,2021,Percentage of individuals using the internet,86.1
496,Mongolia,2000,Percentage of individuals using the internet,1.3
496,Mongolia,2010,Percentage of individuals using the internet,10.2
496,Mongolia,2015,Percentage of individuals using the internet,22.5
496,Mongolia,2019,Percentage of individuals using the internet,51.1
496,Mongolia,2020,Percentage of individuals using the internet,65.6
496,Mongolia,2021,Percentage of individuals using the internet,84.3
499,Montenegro,2005,Percentage of individuals using the internet,27.1
499,Montenegro,2010,Percentage of individuals using the internet,37.5
499,Montenegro,2015,Percentage of individuals using the internet,68.1
499,Montenegro,2019,Percentage of individuals using the internet,73.5
499,Montenegro,2020,Percentage of individuals using the internet,77.6
499,Montenegro,2021,Percentage of individuals using the internet,82.2
500,Montserrat,2010,Percentage of individuals using the internet,35
504,Morocco,2000,Percentage of individuals using the internet,0.7
504,Morocco,2005,Percentage of individuals using the internet,15.1
504,Morocco,2010,Percentage of individuals using the internet,52
504,Morocco,2015,Percentage of individuals using the internet,57.1
504,Morocco,2019,Percentage of individuals using the internet,84.1
504,Morocco,2020,Percentage of individuals using the internet,84.1
504,Morocco,2021,Percentage of individuals using the internet,88.1
508,Mozambique,2000,Percentage of individuals using the internet,0.1
508,Mozambique,2005,Percentage of individuals using the internet,0.9
508,Mozambique,2010,Percentage of individuals using the internet,4.2
508,Mozambique,2015,Percentage of individuals using the internet,6.5
508,Mozambique,2019,Percentage of individuals using the internet,14.6
508,Mozambique,2020,Percentage of individuals using the internet,16.3
